t test_acc train_acc W_norm W_2_norm b_norm b_2_norm Z_2_norm time
0 9.2000e-02 9.8717e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7537e+00
1 1.1420e-01 1.1237e-01 8.8445e-02 3.1446e+00 3.7497e-01 8.4251e+00 1.9378e+04 8.0092e+00
2 1.0400e-01 9.9150e-02 1.2207e-01 2.7082e+00 5.5717e-01 1.0463e+01 2.2174e+04 8.0610e+00
3 1.0400e-01 9.9150e-02 1.5250e-01 2.5573e+00 6.2906e-01 9.6056e+00 2.2848e+04 8.1131e+00
4 1.0240e-01 1.0442e-01 2.0611e-01 2.4916e+00 6.5582e-01 8.6895e+00 2.3095e+04 8.1631e+00
5 9.1200e-02 9.0350e-02 2.0968e-01 2.4592e+00 6.7358e-01 7.8798e+00 2.3190e+04 8.2114e+00
6 9.2400e-02 9.8633e-02 2.2149e-01 2.4454e+00 6.7582e-01 6.9837e+00 2.3232e+04 8.2614e+00
7 9.2400e-02 9.8633e-02 2.2302e-01 2.4389e+00 6.7168e-01 6.2721e+00 2.3251e+04 8.3112e+00
8 9.2400e-02 9.8633e-02 2.2252e-01 2.4263e+00 6.7262e-01 5.6707e+00 2.3259e+04 8.3595e+00
9 9.2400e-02 9.8633e-02 2.5014e-01 2.4223e+00 6.7988e-01 5.0627e+00 2.3269e+04 8.4095e+00
10 9.2400e-02 9.8633e-02 2.6694e-01 2.4291e+00 6.9124e-01 4.5069e+00 2.3263e+04 8.4577e+00
11 9.2400e-02 9.8633e-02 2.8873e-01 2.4292e+00 6.9242e-01 4.1396e+00 2.3275e+04 8.5076e+00
12 9.2400e-02 9.8633e-02 3.0453e-01 2.4321e+00 6.9652e-01 3.7965e+00 2.3255e+04 8.5566e+00
13 9.2400e-02 9.8633e-02 3.2119e-01 2.4269e+00 6.9072e-01 3.3890e+00 2.3257e+04 8.6054e+00
