,accuracy_train,accuracy_test
0,0.04525,0.0512
1,0.8149833333333333,0.7816
2,0.8345,0.8118
3,0.8388166666666667,0.8156
4,0.8517,0.8238
5,0.8555833333333334,0.827
6,0.8593833333333334,0.8342
7,0.85925,0.8304
8,0.8623666666666666,0.8442
9,0.8659333333333333,0.8386
10,0.8718666666666667,0.851
11,0.87035,0.8474
12,0.8726166666666667,0.855
13,0.8737,0.8516
14,0.8757,0.8598
15,0.8780833333333333,0.8568
16,0.8782666666666666,0.8608
17,0.8819166666666667,0.8614
18,0.8827166666666667,0.8642
19,0.8853333333333333,0.8662
20,0.8828833333333334,0.8604
21,0.88165,0.8614
22,0.8816166666666667,0.867
23,0.8831666666666667,0.8596
24,0.88415,0.8678
25,0.8838833333333334,0.8652
26,0.8850333333333333,0.8678
27,0.88425,0.8654
28,0.8814,0.862
29,0.8844,0.8644
30,0.8845833333333334,0.8638
31,0.8846666666666667,0.865
32,0.8833833333333333,0.8684
33,0.8847,0.867
34,0.8853666666666666,0.8708
35,0.8886666666666667,0.8776
36,0.8854,0.8682
37,0.8852166666666667,0.8716
38,0.88425,0.8672
39,0.8851166666666667,0.8696
40,0.8841,0.8642
41,0.8844166666666666,0.8694
42,0.8848666666666667,0.8678
43,0.8833,0.8648
44,0.88725,0.8738
45,0.888,0.874
46,0.8866666666666667,0.8686
47,0.8892166666666667,0.8748
48,0.8878166666666667,0.8714
49,0.8863833333333333,0.87
50,0.888,0.8706
51,0.887,0.8698
52,0.8848166666666667,0.8652
53,0.8878166666666667,0.8732
54,0.88745,0.8628
55,0.8881333333333333,0.8738
56,0.8902666666666667,0.8694
57,0.8923166666666666,0.8766
58,0.8905833333333333,0.8742
59,0.8871833333333333,0.8704
60,0.8873333333333333,0.8706
61,0.8893,0.8704
62,0.88785,0.87
63,0.88755,0.8696
64,0.8846,0.8662
65,0.88705,0.867
66,0.8876,0.867
67,0.8900166666666667,0.8756
68,0.8867666666666667,0.8698
69,0.8879833333333333,0.8674
70,0.8854833333333333,0.8698
71,0.8862166666666667,0.8684
72,0.8853666666666666,0.8672
73,0.8865166666666666,0.8678
74,0.8885333333333333,0.8702
75,0.88785,0.8672
76,0.8872333333333333,0.867
77,0.8890666666666667,0.8648
78,0.887,0.8702
79,0.8889666666666667,0.8632
80,0.8894666666666666,0.8682
81,0.8887,0.8662
82,0.8903333333333333,0.8712
83,0.8883,0.8658
84,0.8885666666666666,0.8728
85,0.8887833333333334,0.8668
86,0.8893,0.8714
87,0.8889333333333334,0.8638
88,0.88695,0.8724
89,0.88535,0.8656
90,0.8841333333333333,0.867
91,0.8837166666666667,0.8664
92,0.8871666666666667,0.8692
93,0.8889666666666667,0.8718
94,0.88715,0.8676
95,0.8851166666666667,0.864
96,0.8860166666666667,0.8652
97,0.88465,0.8638
98,0.8864833333333333,0.8666
99,0.884,0.8622
100,0.884,0.8622
101,0.8878833333333334,0.8652
102,0.8888333333333334,0.8672
103,0.8901333333333333,0.8702
104,0.8894,0.8722
105,0.8891166666666667,0.871
106,0.8908666666666667,0.8692
107,0.8896833333333334,0.8696
108,0.8897666666666667,0.8684
109,0.88795,0.8712
110,0.8881833333333333,0.871
111,0.88565,0.8674
112,0.8843833333333333,0.8682
113,0.8840166666666667,0.866
114,0.88345,0.8658
115,0.8848666666666667,0.8688
116,0.8866666666666667,0.864
117,0.8860666666666667,0.8672
118,0.8860333333333333,0.8666
119,0.8856833333333334,0.8674
120,0.8876833333333334,0.8702
121,0.8872833333333333,0.867
122,0.8872833333333333,0.867
123,0.8843,0.8668
124,0.8843,0.8668
125,0.88525,0.8688
126,0.88305,0.868
127,0.88425,0.8652
128,0.88625,0.8662
129,0.8849,0.8648
130,0.88625,0.8712
131,0.88525,0.8596
132,0.8881833333333333,0.8668
133,0.8866333333333334,0.8644
134,0.8875833333333333,0.867
135,0.8891,0.8706
136,0.8858,0.8652
137,0.8878333333333334,0.8696
138,0.8878333333333334,0.8694
139,0.8863333333333333,0.8726
140,0.8854833333333333,0.8662
141,0.8856166666666667,0.868
142,0.8855,0.8664
143,0.8855,0.8664
144,0.8904333333333333,0.8686
145,0.8876666666666667,0.8684
146,0.8864833333333333,0.8672
147,0.88895,0.869
148,0.88975,0.8706
149,0.88745,0.8698
150,0.8893166666666666,0.8646
151,0.8909666666666667,0.867
152,0.8890166666666667,0.8654
153,0.89105,0.873
154,0.89035,0.8726
155,0.8893166666666666,0.8716
156,0.8888666666666667,0.8692
157,0.8887166666666667,0.8754
158,0.8883666666666666,0.8684
159,0.8882,0.8676
160,0.88805,0.8722
161,0.88805,0.8722
162,0.89215,0.8706
163,0.8918166666666667,0.8706
164,0.8920333333333333,0.8766
165,0.8904833333333333,0.8696
166,0.8916666666666667,0.8732
167,0.8933166666666666,0.8718
168,0.8912666666666667,0.8758
169,0.8922833333333333,0.8762
170,0.8894333333333333,0.8716
171,0.8916333333333334,0.8762
172,0.88985,0.8672
173,0.8889166666666667,0.8736
174,0.8876333333333334,0.8716
175,0.89095,0.8744
176,0.8906,0.874
177,0.8915166666666666,0.8712
178,0.88945,0.8706
179,0.8896666666666667,0.8758
180,0.88705,0.8708
181,0.8903666666666666,0.8658
182,0.8889833333333333,0.8672
183,0.8909833333333333,0.8722
184,0.8894666666666666,0.8706
185,0.8884,0.8696
186,0.8891833333333333,0.8726
187,0.8910166666666667,0.8748
188,0.8919,0.8732
189,0.8917833333333334,0.8712
190,0.88985,0.8726
191,0.8899833333333333,0.872
192,0.8919,0.8722
193,0.8898,0.8708
194,0.8887833333333334,0.8726
195,0.8892833333333333,0.8694
196,0.8899666666666667,0.8678
197,0.89025,0.8674
198,0.8897,0.8662
199,0.8861,0.8652
200,0.88545,0.8678
201,0.8888666666666667,0.8694
202,0.88775,0.8696
203,0.8889666666666667,0.8774
204,0.8932833333333333,0.8772
205,0.8878166666666667,0.8748
206,0.8903333333333333,0.8746
207,0.89025,0.8784
208,0.8910333333333333,0.8764
209,0.8912833333333333,0.8764
210,0.8903166666666666,0.8804
211,0.8903166666666666,0.875
212,0.8889166666666667,0.8726
213,0.8907,0.8738
214,0.89345,0.8776
215,0.88985,0.8744
216,0.8883666666666666,0.8746
217,0.8909833333333333,0.8762
218,0.8885833333333333,0.8706
219,0.8857166666666667,0.8704
220,0.8881333333333333,0.87
221,0.8860833333333333,0.867
222,0.8877666666666667,0.8724
223,0.8893666666666666,0.8724
224,0.8901666666666667,0.8726
225,0.8900333333333333,0.8712
226,0.8899333333333334,0.874
227,0.8881833333333333,0.866
228,0.8860666666666667,0.8684
229,0.88755,0.8622
230,0.8867166666666667,0.8654
231,0.8833833333333333,0.8598
232,0.8877,0.8668
233,0.8881166666666667,0.8668
234,0.8872833333333333,0.8638
235,0.8878,0.8622
236,0.8873,0.8638
237,0.88625,0.8668
238,0.8876333333333334,0.87
239,0.8894166666666666,0.8668
240,0.8875833333333333,0.8692
241,0.88875,0.8704
242,0.8905666666666666,0.876
243,0.8891333333333333,0.8704
244,0.8891,0.8686
245,0.8894833333333333,0.872
246,0.8887333333333334,0.8674
247,0.8878833333333334,0.8696
248,0.8862166666666667,0.8686
249,0.8859833333333333,0.8698
250,0.8853,0.8696
251,0.88895,0.8666
252,0.8870666666666667,0.865
253,0.8895666666666666,0.8714
254,0.8884166666666666,0.8702
255,0.8902833333333333,0.872
256,0.8906,0.8766
257,0.8877333333333334,0.8752
258,0.8877333333333334,0.8752
259,0.8877333333333334,0.8752
260,0.88545,0.8646
261,0.88715,0.871
262,0.8859666666666667,0.8666
263,0.8890833333333333,0.871
264,0.8896,0.8698
265,0.88865,0.8728
266,0.8877666666666667,0.8672
267,0.8893333333333333,0.8696
268,0.8877666666666667,0.8692
269,0.8848166666666667,0.8678
270,0.8864,0.8732
271,0.8865,0.8678
272,0.88765,0.871
273,0.8866,0.8702
274,0.8875833333333333,0.866
275,0.88675,0.8702
276,0.8876833333333334,0.8652
277,0.8914666666666666,0.8708
278,0.88715,0.8622
279,0.8887,0.8694
280,0.89055,0.8722
281,0.8910166666666667,0.875
282,0.8871,0.868
283,0.8888,0.8694
