t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
0 9.0880e-01 9.0965e-01 6.1045e-04 2.7071e-03 4.6178e-05 3.3582e-04 1.7905e-04
1 9.0000e-01 8.9782e-01 1.7841e-02 8.3194e-02 4.1203e-03 9.3479e-03 5.6337e-02
2 9.0800e-01 9.0128e-01 2.2402e-02 1.1794e-01 7.7364e-03 1.8904e-02 6.6109e-02
3 9.0440e-01 9.0237e-01 2.7017e-02 1.4614e-01 7.9603e-03 1.6766e-02 7.5942e-02
4 9.0000e-01 8.9782e-01 2.9150e-02 1.6927e-01 6.5376e-03 2.3944e-02 8.5527e-02
5 9.0000e-01 8.9782e-01 3.7052e-02 1.9314e-01 6.1402e-03 2.3934e-02 9.5134e-02
6 9.0020e-01 8.9788e-01 4.1334e-02 2.1031e-01 7.1114e-03 3.1613e-02 1.0491e-01
7 9.0120e-01 9.0223e-01 4.2697e-02 2.2569e-01 7.0493e-03 2.8743e-02 1.1450e-01
8 9.0200e-01 9.0243e-01 4.4306e-02 2.4066e-01 7.4218e-03 3.3345e-02 1.2408e-01
9 9.0200e-01 9.0247e-01 4.1706e-02 2.5638e-01 5.4037e-03 3.5867e-02 1.3385e-01
10 9.0220e-01 9.0248e-01 4.5161e-02 2.7285e-01 5.4192e-03 3.7330e-02 1.4344e-01
11 9.0180e-01 9.0223e-01 4.6036e-02 2.8957e-01 1.0227e-02 4.1790e-02 1.5302e-01
12 9.0560e-01 9.0893e-01 4.9385e-02 2.9570e-01 9.2447e-03 4.1263e-02 1.6261e-01
13 9.0000e-01 8.9782e-01 5.4593e-02 3.0841e-01 1.2962e-02 4.1768e-02 1.7220e-01
14 8.9620e-01 9.0183e-01 5.9970e-02 3.2206e-01 9.7937e-03 4.3698e-02 1.8197e-01
15 9.0120e-01 9.0003e-01 6.3016e-02 3.3804e-01 1.1403e-02 4.6073e-02 1.9154e-01
16 9.0220e-01 9.0040e-01 7.1251e-02 3.4866e-01 7.5455e-03 4.8608e-02 2.0113e-01
17 9.1380e-01 9.1618e-01 7.0880e-02 3.6497e-01 8.2322e-03 5.2166e-02 2.1070e-01
18 8.9880e-01 8.9670e-01 7.3004e-02 3.7091e-01 1.1802e-02 4.9665e-02 2.2029e-01
19 8.9760e-01 8.9623e-01 7.7284e-02 3.8877e-01 1.4209e-02 5.8298e-02 2.2989e-01
20 8.7460e-01 8.6963e-01 7.9954e-02 3.9875e-01 1.3211e-02 5.8362e-02 2.3967e-01
21 8.9700e-01 8.9195e-01 7.4477e-02 4.0899e-01 1.8544e-02 5.8683e-02 2.4944e-01
22 9.0720e-01 9.0128e-01 7.5685e-02 4.1832e-01 1.9014e-02 6.1518e-02 2.5920e-01
23 9.0520e-01 8.9895e-01 8.0017e-02 4.2483e-01 2.4235e-02 5.9824e-02 2.6879e-01
24 9.0960e-01 9.0310e-01 8.3744e-02 4.3307e-01 2.4985e-02 5.9754e-02 2.7838e-01
