t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
0 8.9400e-01 9.0070e-01 9.6330e-03 1.0493e-03 5.4861e-04 2.0710e-04 6.9325e-03
1 9.0500e-01 9.0272e-01 1.9388e-01 2.2399e-02 6.3470e-03 6.1914e-03 8.4352e-02
2 9.0800e-01 9.0122e-01 2.7452e-01 3.2825e-02 9.7332e-03 1.2141e-02 8.9596e-02
3 9.0700e-01 9.1343e-01 3.3550e-01 3.9368e-02 1.2179e-02 1.0276e-02 9.4734e-02
4 9.0000e-01 8.9782e-01 3.8798e-01 4.2751e-02 1.3394e-02 1.5098e-02 9.9857e-02
5 9.0040e-01 8.9832e-01 4.3366e-01 5.1304e-02 1.4724e-02 1.5221e-02 1.0502e-01
6 9.0960e-01 9.1202e-01 4.7728e-01 5.7593e-02 1.5197e-02 1.9711e-02 1.1018e-01
7 9.0200e-01 9.0260e-01 5.1668e-01 6.1074e-02 1.7179e-02 1.8088e-02 1.1531e-01
8 9.0200e-01 9.0247e-01 5.5022e-01 6.6788e-02 1.8157e-02 2.1079e-02 1.2042e-01
9 9.0200e-01 9.0260e-01 5.8297e-01 7.0389e-02 2.1638e-02 2.2846e-02 1.2553e-01
10 9.0220e-01 9.0258e-01 6.1210e-01 7.8522e-02 2.1300e-02 2.3794e-02 1.3067e-01
11 9.0020e-01 9.0130e-01 6.3655e-01 8.5114e-02 2.3070e-02 2.6976e-02 1.3581e-01
12 8.8260e-01 8.9248e-01 6.6649e-01 8.9223e-02 2.1142e-02 2.7213e-02 1.4096e-01
13 8.5100e-01 8.6785e-01 6.9379e-01 9.1677e-02 1.8534e-02 2.7852e-02 1.4610e-01
14 8.6440e-01 8.7460e-01 7.2009e-01 9.6389e-02 1.8642e-02 2.8941e-02 1.5130e-01
15 8.4900e-01 8.5782e-01 7.4476e-01 1.0225e-01 2.2392e-02 3.0253e-02 1.5647e-01
16 7.3860e-01 7.6592e-01 7.6875e-01 1.0572e-01 2.4588e-02 3.2158e-02 1.6158e-01
17 7.1740e-01 7.4722e-01 7.9330e-01 1.1238e-01 2.4519e-02 3.5031e-02 1.6668e-01
18 7.1960e-01 7.4220e-01 8.1532e-01 1.1294e-01 2.6112e-02 3.3624e-02 1.7182e-01
19 7.1500e-01 7.4785e-01 8.3659e-01 1.2014e-01 2.6935e-02 3.9140e-02 1.7697e-01
20 7.2340e-01 7.4987e-01 8.5566e-01 1.2271e-01 2.4837e-02 3.9253e-02 1.8211e-01
21 7.3020e-01 7.4978e-01 8.7680e-01 1.2699e-01 2.5902e-02 3.9458e-02 1.8738e-01
22 7.4260e-01 7.5857e-01 8.9350e-01 1.2933e-01 2.5529e-02 4.1471e-02 1.9249e-01
23 7.5360e-01 7.6568e-01 9.1276e-01 1.3124e-01 2.6746e-02 4.0075e-02 1.9760e-01
24 7.7640e-01 7.8293e-01 9.3439e-01 1.3465e-01 2.7500e-02 4.0764e-02 2.0271e-01
25 7.7280e-01 7.7662e-01 9.4869e-01 1.4004e-01 3.1417e-02 4.1904e-02 2.0784e-01
26 7.7280e-01 7.7662e-01 9.4869e-01 1.4004e-01 3.1417e-02 4.1904e-02 2.1278e-01
27 7.6440e-01 7.7140e-01 9.6562e-01 1.4048e-01 3.2593e-02 3.9965e-02 2.1793e-01
28 7.6320e-01 7.7102e-01 9.8100e-01 1.4290e-01 3.5557e-02 4.3793e-02 2.2307e-01
29 7.6520e-01 7.6687e-01 9.9949e-01 1.4735e-01 3.4052e-02 4.6231e-02 2.2820e-01
30 7.7060e-01 7.7332e-01 1.0188e+00 1.5041e-01 3.6565e-02 4.6025e-02 2.3334e-01
31 7.7060e-01 7.7332e-01 1.0188e+00 1.5041e-01 3.6565e-02 4.6025e-02 2.3818e-01
32 7.7500e-01 7.7978e-01 1.0330e+00 1.5412e-01 3.6713e-02 4.8610e-02 2.4331e-01
33 7.7500e-01 7.7978e-01 1.0330e+00 1.5412e-01 3.6713e-02 4.8610e-02 2.4818e-01
34 7.8140e-01 7.8202e-01 1.0510e+00 1.6134e-01 3.4091e-02 4.8305e-02 2.5329e-01
35 7.6120e-01 7.6078e-01 1.0702e+00 1.6637e-01 3.4649e-02 4.8487e-02 2.5857e-01
36 7.5960e-01 7.5792e-01 1.0855e+00 1.7253e-01 3.4949e-02 5.2398e-02 2.6369e-01
37 7.4520e-01 7.4083e-01 1.1051e+00 1.7121e-01 3.5584e-02 5.6646e-02 2.6880e-01
38 7.2180e-01 7.2018e-01 1.1208e+00 1.7757e-01 3.6955e-02 5.5444e-02 2.7391e-01
39 7.3340e-01 7.2985e-01 1.1363e+00 1.8105e-01 3.6477e-02 5.5637e-02 2.7906e-01
40 7.3120e-01 7.2788e-01 1.1524e+00 1.8787e-01 3.5766e-02 5.8986e-02 2.8419e-01
41 7.2340e-01 7.1780e-01 1.1641e+00 1.9307e-01 3.7638e-02 5.9192e-02 2.8933e-01
42 7.1620e-01 7.0850e-01 1.1795e+00 1.9473e-01 4.0728e-02 5.7955e-02 2.9447e-01
43 7.1620e-01 7.0850e-01 1.1795e+00 1.9473e-01 4.0728e-02 5.7955e-02 2.9936e-01
