t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
0 3.8282e-01 4.1663e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -4.3413e+02 1.6398e-03
1 1.9367e-01 1.9884e-01 5.5875e-02 1.1887e+00 1.5423e-01 -1.0891e-03 1.2880e+01 -9.1600e+01 6.4176e-02
2 1.5226e-01 1.6123e-01 8.5997e-02 2.0215e+00 1.2358e-01 -5.9866e-02 3.5517e+00 -3.8948e+01 7.0868e-02
3 1.2192e-01 1.2926e-01 1.0735e-01 2.4160e+00 1.4225e-01 4.7029e-02 9.6416e-01 -2.6636e+01 7.6685e-02
4 9.6885e-02 1.0218e-01 1.2550e-01 2.6879e+00 1.7533e-01 1.9525e-02 6.9993e-02 -2.0276e+01 8.2842e-02
5 8.0631e-02 8.3553e-02 1.3963e-01 2.8750e+00 2.0908e-01 -2.1333e-02 -2.2104e-01 -1.6953e+01 8.9639e-02
6 6.9062e-02 7.0427e-02 1.5076e-01 3.0197e+00 2.4386e-01 2.4776e-02 -3.2040e-01 -1.5101e+01 9.5562e-02
7 6.2309e-02 6.2360e-02 1.5901e-01 3.1239e+00 2.7166e-01 -5.8226e-02 -3.3354e-01 -1.3834e+01 1.0200e-01
8 5.7498e-02 5.6826e-02 1.6594e-01 3.2084e+00 2.9655e-01 3.9417e-02 -2.3574e-01 -1.3212e+01 1.0786e-01
9 5.4208e-02 5.3098e-02 1.7230e-01 3.2887e+00 3.1729e-01 1.5178e-02 -1.4114e-01 -1.2753e+01 1.1355e-01
10 5.2713e-02 5.1182e-02 1.7641e-01 3.3491e+00 3.3295e-01 -4.4762e-02 -1.2046e-01 -1.2452e+01 1.1862e-01
11 5.1312e-02 4.9880e-02 1.7874e-01 3.4057e+00 3.4184e-01 6.0280e-02 -1.4360e-01 -1.2279e+01 1.2362e-01
12 5.0197e-02 4.8681e-02 1.8191e-01 3.4422e+00 3.5445e-01 6.6108e-03 -1.1617e-01 -1.2245e+01 1.2940e-01
13 4.8774e-02 4.7583e-02 1.8429e-01 3.4773e+00 3.5960e-01 -3.1280e-02 -9.5214e-02 -1.2212e+01 1.3515e-01
14 4.8065e-02 4.6778e-02 1.8619e-01 3.5162e+00 3.6470e-01 -6.9813e-02 -1.1341e-01 -1.2107e+01 1.4151e-01
15 4.7810e-02 4.6292e-02 1.8689e-01 3.5531e+00 3.7115e-01 1.9605e-03 -6.1697e-03 -1.1969e+01 1.4751e-01
16 4.7136e-02 4.5756e-02 1.8931e-01 3.5914e+00 3.7620e-01 2.1598e-02 -1.8170e-02 -1.1793e+01 1.5315e-01
17 4.6626e-02 4.5248e-02 1.9030e-01 3.6298e+00 3.7552e-01 -6.0063e-03 -1.6899e-02 -1.1704e+01 1.5894e-01
18 4.6322e-02 4.4992e-02 1.9002e-01 3.6692e+00 3.7664e-01 -3.4598e-02 -4.8413e-02 -1.1772e+01 1.6495e-01
19 4.5659e-02 4.4396e-02 1.9139e-01 3.7053e+00 3.7760e-01 -5.0786e-02 -7.4525e-02 -1.1775e+01 1.7123e-01
20 4.4895e-02 4.3768e-02 1.9130e-01 3.7438e+00 3.7678e-01 1.0392e-02 2.0559e-02 -1.1658e+01 1.7701e-01
21 4.4640e-02 4.3439e-02 1.9131e-01 3.7856e+00 3.7910e-01 4.6763e-02 4.0561e-02 -1.1509e+01 1.8231e-01
22 4.4653e-02 4.3240e-02 1.9282e-01 3.8229e+00 3.7921e-01 3.5234e-02 2.0849e-02 -1.1466e+01 1.8795e-01
23 4.4525e-02 4.3065e-02 1.9414e-01 3.8591e+00 3.7948e-01 6.9154e-02 -5.9325e-02 -1.1416e+01 1.9320e-01
24 4.4308e-02 4.3024e-02 1.9497e-01 3.9053e+00 3.8583e-01 -5.2578e-02 1.4010e-02 -1.1392e+01 1.9900e-01
25 4.4371e-02 4.2698e-02 1.9500e-01 3.9389e+00 3.8593e-01 -2.4945e-02 3.9345e-04 -1.1335e+01 2.0487e-01
26 4.3972e-02 4.2292e-02 1.9515e-01 3.9778e+00 3.8202e-01 -1.3035e-02 -4.3228e-02 -1.1209e+01 2.1048e-01
27 4.3928e-02 4.2187e-02 1.9565e-01 4.0183e+00 3.8461e-01 3.8057e-02 4.7538e-02 -1.1169e+01 2.1600e-01
28 4.4311e-02 4.2295e-02 1.9651e-01 4.0533e+00 3.8582e-01 2.0232e-04 -3.3824e-02 -1.1214e+01 2.2101e-01
29 4.3842e-02 4.2136e-02 1.9697e-01 4.1067e+00 3.8596e-01 -6.9631e-02 -1.1352e-02 -1.1236e+01 2.2697e-01
30 4.3710e-02 4.1826e-02 1.9785e-01 4.1511e+00 3.8681e-01 2.4018e-02 -2.3990e-02 -1.1166e+01 2.3283e-01
31 4.3892e-02 4.1737e-02 1.9706e-01 4.1904e+00 3.8546e-01 1.4451e-02 3.0145e-02 -1.0993e+01 2.3808e-01
32 4.3658e-02 4.1536e-02 1.9719e-01 4.2340e+00 3.8283e-01 -1.1036e-01 4.3949e-02 -1.1192e+01 2.4353e-01
33 4.3457e-02 4.1360e-02 1.9761e-01 4.2631e+00 3.8117e-01 -1.4996e-02 4.5491e-02 -1.1128e+01 2.4924e-01
34 4.3006e-02 4.1054e-02 1.9934e-01 4.3012e+00 3.8595e-01 -2.2021e-02 4.4462e-04 -1.0974e+01 2.5457e-01
35 4.2854e-02 4.1105e-02 1.9990e-01 4.3425e+00 3.8523e-01 -1.8557e-02 -2.0315e-02 -1.1066e+01 2.5976e-01
36 4.2529e-02 4.0928e-02 2.0094e-01 4.3907e+00 3.8933e-01 5.7820e-02 1.3180e-02 -1.1012e+01 2.6506e-01
37 4.2612e-02 4.0910e-02 2.0117e-01 4.4277e+00 3.8689e-01 6.2941e-02 -1.2106e-02 -1.1025e+01 2.7111e-01
38 4.2555e-02 4.0736e-02 2.0165e-01 4.4562e+00 3.8236e-01 -6.9653e-03 4.3538e-02 -1.0947e+01 2.8090e-01
39 4.3016e-02 4.0584e-02 2.0157e-01 4.5299e+00 3.8179e-01 -3.7816e-04 -4.6468e-02 -1.0923e+01 2.8745e-01
40 4.2765e-02 4.0502e-02 2.0164e-01 4.5758e+00 3.8125e-01 -3.3683e-02 3.5725e-02 -1.0768e+01 2.9272e-01
41 4.2565e-02 4.0608e-02 2.0124e-01 4.6242e+00 3.8172e-01 -1.7773e-02 -1.4953e-03 -1.0946e+01 2.9899e-01
42 4.2557e-02 4.0502e-02 2.0271e-01 4.6649e+00 3.8503e-01 1.3821e-02 4.3375e-02 -1.0851e+01 3.0483e-01
43 4.2104e-02 4.0578e-02 2.0325e-01 4.6966e+00 3.8178e-01 1.0834e-02 3.9353e-02 -1.0838e+01 3.1061e-01
44 4.2089e-02 4.0442e-02 2.0338e-01 4.7151e+00 3.7751e-01 -1.8400e-02 3.0956e-02 -1.0840e+01 3.1590e-01
45 4.1926e-02 4.0360e-02 2.0307e-01 4.7654e+00 3.8106e-01 2.8270e-02 1.3290e-02 -1.0759e+01 3.2192e-01
46 4.1998e-02 4.0047e-02 2.0316e-01 4.8019e+00 3.8162e-01 8.7278e-02 -2.0896e-02 -1.0806e+01 3.2752e-01
47 4.2477e-02 4.0025e-02 2.0453e-01 4.8542e+00 3.8452e-01 -7.9832e-02 -1.6081e-02 -1.0767e+01 3.3275e-01
48 4.1434e-02 3.9682e-02 2.0509e-01 4.9048e+00 3.8459e-01 -5.3998e-02 2.3810e-02 -1.0846e+01 3.3884e-01
49 4.1221e-02 3.9643e-02 2.0495e-01 4.9275e+00 3.7864e-01 -6.2939e-03 -3.1086e-02 -1.0677e+01 3.4475e-01
50 4.1373e-02 3.9593e-02 2.0444e-01 4.9809e+00 3.7958e-01 -5.0557e-02 5.9721e-02 -1.0698e+01 3.4989e-01
51 4.0696e-02 3.9345e-02 2.0574e-01 5.0236e+00 3.8142e-01 6.3756e-02 5.5629e-02 -1.0665e+01 3.5600e-01
52 4.0249e-02 3.9319e-02 2.0572e-01 5.0575e+00 3.8211e-01 1.8056e-02 5.5701e-02 -1.0673e+01 3.6191e-01
