t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
0 0.0000e+00 0.0000e+00 3.0704e+00 8.5457e-01 4.1663e-01 4.1691e-08 -1.1988e-06 -7.2070e-12 1.6367e-03
1 1.0200e-05 9.6299e-06 3.0709e+00 8.5534e-01 4.1595e-01 -1.0609e-02 -8.3204e-01 -8.5416e+00 6.4421e-02
2 1.6535e-05 1.6472e-05 3.0702e+00 8.5316e-01 4.1664e-01 1.3408e-02 7.9782e-01 -9.4526e+00 7.0998e-02
3 1.9314e-05 1.8807e-05 3.0695e+00 8.5364e-01 4.1566e-01 7.8730e-02 1.2344e-01 -9.7181e+00 7.8075e-02
4 3.0720e-05 2.7609e-05 3.0698e+00 8.5497e-01 4.1646e-01 8.7799e-02 2.0643e-02 -9.7098e+00 8.5576e-02
5 2.6512e-05 2.4429e-05 3.0702e+00 8.5408e-01 4.1661e-01 -2.5909e-02 1.3997e-01 -9.6341e+00 9.2518e-02
6 3.3987e-05 2.9606e-05 3.0713e+00 8.5482e-01 4.1731e-01 4.6005e-02 -1.6912e-01 -9.7981e+00 9.9926e-02
7 4.0820e-05 3.7922e-05 3.0716e+00 8.5410e-01 4.1581e-01 6.5829e-03 -1.9301e-01 -9.6848e+00 1.0828e-01
8 4.2131e-05 3.7744e-05 3.0714e+00 8.5552e-01 4.1741e-01 2.5344e-02 -4.1300e-01 -9.6182e+00 1.1545e-01
9 4.5287e-05 4.3214e-05 3.0714e+00 8.5573e-01 4.1815e-01 -8.2807e-02 4.1643e-01 -9.6888e+00 1.2217e-01
10 3.9675e-05 3.7087e-05 3.0715e+00 8.5353e-01 4.1743e-01 5.2918e-02 7.2383e-01 -9.6162e+00 1.2878e-01
11 4.4558e-05 4.1972e-05 3.0709e+00 8.5310e-01 4.1671e-01 -3.5326e-02 5.4811e-01 -9.6966e+00 1.3538e-01
12 4.8322e-05 4.4205e-05 3.0708e+00 8.5196e-01 4.1490e-01 4.4022e-02 5.9762e-02 -9.6388e+00 1.4214e-01
13 4.6960e-05 4.2286e-05 3.0715e+00 8.5341e-01 4.1623e-01 1.5866e-02 -2.5986e-01 -9.7440e+00 1.4914e-01
14 5.3250e-05 4.7841e-05 3.0708e+00 8.5500e-01 4.1798e-01 -2.6372e-02 5.0602e-01 -9.8185e+00 1.5615e-01
15 4.9910e-05 4.5529e-05 3.0714e+00 8.5595e-01 4.1697e-01 2.6117e-02 1.5736e-01 -9.6841e+00 1.6321e-01
16 5.6845e-05 5.1666e-05 3.0712e+00 8.5484e-01 4.1660e-01 4.7584e-02 6.6236e-01 -9.6070e+00 1.6980e-01
17 5.6409e-05 5.3505e-05 3.0714e+00 8.5519e-01 4.1524e-01 8.3459e-02 -2.9679e-01 -9.6732e+00 1.7688e-01
18 4.8769e-05 4.8466e-05 3.0716e+00 8.5596e-01 4.1627e-01 -3.7632e-02 -1.6137e-02 -9.6352e+00 1.8424e-01
19 5.1284e-05 4.9702e-05 3.0722e+00 8.5543e-01 4.1560e-01 -9.7201e-03 -4.7228e-01 -9.7528e+00 1.9086e-01
20 5.4610e-05 5.3709e-05 3.0715e+00 8.5683e-01 4.1754e-01 -3.2183e-02 3.9933e-01 -9.6806e+00 1.9822e-01
21 6.0062e-05 5.8512e-05 3.0706e+00 8.5556e-01 4.1615e-01 1.7065e-02 3.2845e-01 -9.5441e+00 2.0526e-01
22 6.2407e-05 6.2114e-05 3.0712e+00 8.5688e-01 4.1597e-01 -8.4828e-02 -2.9374e-01 -9.6726e+00 2.1198e-01
23 6.3668e-05 6.2874e-05 3.0709e+00 8.5619e-01 4.1619e-01 4.1824e-02 5.5691e-02 -9.6254e+00 2.1885e-01
24 6.8142e-05 6.3778e-05 3.0721e+00 8.5511e-01 4.1545e-01 -5.4047e-03 -6.1137e-01 -9.7508e+00 2.2569e-01
25 7.0023e-05 6.5444e-05 3.0723e+00 8.5510e-01 4.1679e-01 -2.7180e-02 2.3465e-01 -9.6761e+00 2.3285e-01
26 7.7996e-05 7.4532e-05 3.0717e+00 8.5282e-01 4.1439e-01 -1.2171e-02 -6.6701e-01 -9.5551e+00 2.4011e-01
27 7.5716e-05 7.0703e-05 3.0711e+00 8.5675e-01 4.1583e-01 5.0328e-02 -4.5426e-01 -9.5715e+00 2.4693e-01
28 7.2428e-05 6.8138e-05 3.0705e+00 8.5631e-01 4.1580e-01 -3.1797e-02 -5.9025e-01 -9.6517e+00 2.5411e-01
29 6.9555e-05 6.3407e-05 3.0727e+00 8.5501e-01 4.1619e-01 1.1323e-01 -1.7555e-01 -9.6538e+00 2.6099e-01
30 7.7930e-05 7.3729e-05 3.0729e+00 8.5398e-01 4.1651e-01 -7.4715e-02 4.0755e-01 -9.7141e+00 2.6793e-01
31 7.6662e-05 7.0755e-05 3.0719e+00 8.5309e-01 4.1590e-01 -2.2889e-02 2.5848e-01 -9.5278e+00 2.7454e-01
32 7.9223e-05 7.6765e-05 3.0730e+00 8.5377e-01 4.1710e-01 -5.1354e-02 2.3921e-01 -9.6700e+00 2.8138e-01
33 8.1677e-05 7.6795e-05 3.0727e+00 8.5454e-01 4.1667e-01 -4.8297e-02 3.1537e-01 -9.6879e+00 2.8800e-01
34 8.1610e-05 7.5972e-05 3.0734e+00 8.5449e-01 4.1655e-01 -4.2392e-02 8.5738e-02 -9.6368e+00 2.9516e-01
35 8.7144e-05 8.0455e-05 3.0733e+00 8.5412e-01 4.1677e-01 -2.5280e-02 2.7603e-01 -9.8458e+00 3.0177e-01
36 8.9275e-05 8.7191e-05 3.0739e+00 8.5374e-01 4.1668e-01 -1.8892e-02 2.3053e-01 -9.7701e+00 3.0886e-01
37 7.9733e-05 7.8444e-05 3.0731e+00 8.5429e-01 4.1706e-01 4.1999e-02 -1.5149e-01 -9.8141e+00 3.1639e-01
38 9.1293e-05 8.6618e-05 3.0731e+00 8.5406e-01 4.1739e-01 3.8496e-02 5.3994e-01 -9.6857e+00 3.2509e-01
39 8.7926e-05 8.4700e-05 3.0746e+00 8.5455e-01 4.1765e-01 -2.5823e-02 4.2244e-01 -9.7700e+00 3.3260e-01
40 9.1651e-05 8.8990e-05 3.0737e+00 8.5375e-01 4.1734e-01 5.8967e-02 6.5684e-01 -9.8029e+00 3.3937e-01
41 9.4635e-05 9.0578e-05 3.0739e+00 8.5144e-01 4.1652e-01 1.5875e-02 7.0680e-01 -9.7174e+00 3.4607e-01
42 9.3147e-05 8.6384e-05 3.0752e+00 8.5383e-01 4.1750e-01 -3.0201e-02 -1.7807e-01 -9.6129e+00 3.5312e-01
43 9.9650e-05 9.2160e-05 3.0750e+00 8.5281e-01 4.1772e-01 -1.0310e-02 4.2451e-01 -9.7365e+00 3.5999e-01
44 9.8962e-05 9.1774e-05 3.0746e+00 8.5076e-01 4.1618e-01 -1.7711e-02 -5.1495e-01 -9.6933e+00 3.6665e-01
45 1.0193e-04 9.3462e-05 3.0750e+00 8.5231e-01 4.1783e-01 -3.2525e-02 -1.6583e-01 -9.7894e+00 3.7361e-01
46 1.0209e-04 9.5178e-05 3.0746e+00 8.5205e-01 4.1733e-01 8.5740e-03 8.2484e-01 -9.7480e+00 3.8032e-01
47 1.0234e-04 9.3973e-05 3.0736e+00 8.5150e-01 4.1642e-01 8.5801e-03 5.0434e-01 -9.6990e+00 3.8732e-01
48 1.0278e-04 9.4483e-05 3.0742e+00 8.5079e-01 4.1589e-01 -4.5874e-02 4.5890e-01 -9.8266e+00 3.9405e-01
49 9.8313e-05 9.2155e-05 3.0753e+00 8.4908e-01 4.1607e-01 -5.9429e-02 2.0498e-01 -9.6343e+00 4.0118e-01
50 9.7584e-05 9.0544e-05 3.0754e+00 8.5134e-01 4.1683e-01 -6.7168e-03 1.3989e-01 -9.7249e+00 4.0833e-01
51 9.3566e-05 8.8113e-05 3.0755e+00 8.5166e-01 4.1762e-01 8.7735e-03 3.9526e-01 -9.6789e+00 4.1607e-01
52 9.2636e-05 8.7626e-05 3.0756e+00 8.5155e-01 4.1730e-01 -1.2134e-02 1.5156e-01 -9.7556e+00 4.2294e-01
53 1.0042e-04 9.8692e-05 3.0754e+00 8.5143e-01 4.1520e-01 -6.4542e-04 -7.1755e-01 -9.6812e+00 4.2966e-01
54 9.7783e-05 9.3026e-05 3.0750e+00 8.5013e-01 4.1628e-01 -5.3129e-03 -1.3315e-01 -9.7682e+00 4.3630e-01
55 9.8409e-05 9.4080e-05 3.0742e+00 8.4875e-01 4.1457e-01 3.1773e-02 -4.5712e-01 -9.7628e+00 4.4284e-01
56 1.0673e-04 1.0044e-04 3.0749e+00 8.5042e-01 4.1474e-01 2.5224e-02 -1.1439e+00 -9.7711e+00 4.4998e-01
57 9.8646e-05 9.0693e-05 3.0761e+00 8.4919e-01 4.1527e-01 -4.0417e-02 -1.1658e-02 -9.6905e+00 4.5679e-01
58 9.7539e-05 9.0466e-05 3.0764e+00 8.4889e-01 4.1522e-01 -8.7108e-03 1.8399e-01 -9.7720e+00 4.6407e-01
59 9.7397e-05 8.8654e-05 3.0763e+00 8.4871e-01 4.1566e-01 3.9381e-02 1.4372e-01 -9.8221e+00 4.7104e-01
60 1.0461e-04 9.6376e-05 3.0771e+00 8.5094e-01 4.1677e-01 -8.6243e-02 -3.0294e-01 -9.7661e+00 4.7802e-01
61 1.0883e-04 9.6791e-05 3.0770e+00 8.5071e-01 4.1699e-01 1.2724e-02 -1.8850e-01 -9.8540e+00 4.8475e-01
62 1.0725e-04 9.2245e-05 3.0770e+00 8.4906e-01 4.1713e-01 -5.8945e-02 4.0536e-02 -9.7212e+00 4.9174e-01
63 1.0570e-04 9.1701e-05 3.0758e+00 8.4829e-01 4.1699e-01 -2.0010e-02 8.7630e-01 -9.7107e+00 4.9862e-01
64 1.0710e-04 9.3137e-05 3.0765e+00 8.4819e-01 4.1668e-01 -2.1583e-02 5.7985e-02 -9.5659e+00 5.0523e-01
65 1.1011e-04 9.6918e-05 3.0758e+00 8.4566e-01 4.1505e-01 8.3884e-03 1.8018e-01 -9.7127e+00 5.1223e-01
66 1.0863e-04 9.6730e-05 3.0757e+00 8.4688e-01 4.1457e-01 -4.5690e-03 -3.2762e-01 -9.7427e+00 5.1921e-01
67 1.1741e-04 1.0327e-04 3.0759e+00 8.4639e-01 4.1534e-01 5.2190e-02 4.2701e-01 -9.7318e+00 5.2628e-01
