t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
0 3.1499e-08 2.8344e-08 3.1136e+00 9.8691e-01 3.6280e-01 -5.5573e-04 1.3926e-01 -2.1932e+00 5.3385e+00
1 3.5417e-06 3.3743e-06 3.1131e+00 9.8639e-01 3.6244e-01 3.5138e-05 2.6608e-02 -2.1710e+00 8.9660e+00
2 5.1254e-06 4.9338e-06 3.1130e+00 9.8611e-01 3.6218e-01 -1.0259e-02 4.2179e-01 -2.1976e+00 8.9756e+00
3 8.2757e-06 7.9338e-06 3.1125e+00 9.8593e-01 3.6190e-01 -1.4911e-02 -3.5893e-01 -2.1854e+00 8.9848e+00
4 1.0305e-05 9.5799e-06 3.1126e+00 9.8646e-01 3.6230e-01 1.0460e-02 4.9068e-02 -2.1675e+00 8.9935e+00
5 1.0871e-05 1.0160e-05 3.1126e+00 9.8722e-01 3.6286e-01 -3.4234e-02 4.1553e-02 -2.1427e+00 9.0023e+00
6 1.2176e-05 1.2038e-05 3.1123e+00 9.8637e-01 3.6215e-01 4.6305e-02 2.4239e-01 -2.1812e+00 9.0101e+00
7 1.5300e-05 1.4899e-05 3.1120e+00 9.8688e-01 3.6211e-01 -7.7520e-04 -1.5377e-01 -2.1825e+00 9.0188e+00
8 1.4985e-05 1.5249e-05 3.1119e+00 9.8678e-01 3.6192e-01 -4.3505e-03 3.2761e-01 -2.1798e+00 9.0258e+00
9 1.7684e-05 1.8043e-05 3.1125e+00 9.8663e-01 3.6183e-01 -2.4252e-02 -4.4894e-01 -2.1943e+00 9.0328e+00
10 1.7138e-05 1.6728e-05 3.1126e+00 9.8670e-01 3.6207e-01 8.9045e-04 -3.9656e-02 -2.2120e+00 9.0406e+00
11 1.7739e-05 1.7316e-05 3.1128e+00 9.8656e-01 3.6180e-01 -3.9149e-02 -2.1489e-02 -2.1681e+00 9.0494e+00
12 1.7194e-05 1.6865e-05 3.1124e+00 9.8736e-01 3.6216e-01 2.8474e-02 -4.1049e-01 -2.1543e+00 9.0571e+00
13 1.8045e-05 1.7175e-05 3.1124e+00 9.8714e-01 3.6246e-01 -1.6177e-02 1.3721e-01 -2.2026e+00 9.0650e+00
14 2.0060e-05 1.9636e-05 3.1127e+00 9.8814e-01 3.6296e-01 -8.9212e-03 -3.3135e-01 -2.2030e+00 9.0728e+00
15 1.9446e-05 1.9062e-05 3.1127e+00 9.8701e-01 3.6244e-01 -5.4603e-03 9.4766e-02 -2.1509e+00 9.0823e+00
16 2.0922e-05 2.0849e-05 3.1123e+00 9.8643e-01 3.6186e-01 -4.4739e-03 1.3908e-01 -2.1486e+00 9.0910e+00
17 2.2194e-05 2.2090e-05 3.1123e+00 9.8727e-01 3.6206e-01 -1.4762e-02 2.8981e-01 -2.1579e+00 9.0988e+00
18 2.1670e-05 2.1699e-05 3.1120e+00 9.8754e-01 3.6180e-01 -1.4074e-02 -7.5593e-02 -2.1777e+00 9.1074e+00
19 2.1994e-05 2.3114e-05 3.1121e+00 9.8775e-01 3.6218e-01 1.7228e-03 7.1737e-02 -2.1607e+00 9.1152e+00
20 2.2836e-05 2.3627e-05 3.1122e+00 9.8783e-01 3.6210e-01 -1.5130e-02 -1.0686e-01 -2.1713e+00 9.1225e+00
21 2.6249e-05 2.6914e-05 3.1124e+00 9.8842e-01 3.6240e-01 -2.1746e-02 2.3403e-02 -2.1679e+00 9.1312e+00
22 2.5319e-05 2.5736e-05 3.1122e+00 9.8816e-01 3.6261e-01 1.1632e-02 1.1914e-01 -2.1768e+00 9.1389e+00
23 2.6933e-05 2.6982e-05 3.1122e+00 9.8781e-01 3.6257e-01 -4.7303e-03 1.4591e-01 -2.1881e+00 9.1468e+00
24 2.6493e-05 2.6376e-05 3.1116e+00 9.8789e-01 3.6224e-01 8.9113e-03 3.4704e-01 -2.1827e+00 9.1538e+00
25 2.9809e-05 2.9546e-05 3.1115e+00 9.8764e-01 3.6197e-01 -2.1410e-02 1.1190e-02 -2.2206e+00 9.2272e+00
26 3.1251e-05 2.9237e-05 3.1114e+00 9.8608e-01 3.6153e-01 -1.1951e-02 -7.5850e-02 -2.1904e+00 9.2343e+00
27 3.1382e-05 2.9119e-05 3.1109e+00 9.8649e-01 3.6130e-01 -3.7462e-03 1.5394e-01 -2.2307e+00 9.2413e+00
28 3.0676e-05 2.7681e-05 3.1112e+00 9.8738e-01 3.6211e-01 -1.2523e-02 1.8704e-02 -2.1772e+00 9.2482e+00
29 3.2084e-05 2.9716e-05 3.1111e+00 9.8775e-01 3.6224e-01 1.1081e-02 -4.5799e-02 -2.1630e+00 9.2560e+00
30 3.2357e-05 2.9771e-05 3.1110e+00 9.8788e-01 3.6272e-01 8.8174e-04 -1.2242e-01 -2.1919e+00 9.2630e+00
31 3.4809e-05 3.0960e-05 3.1107e+00 9.8745e-01 3.6254e-01 -3.4841e-02 1.2382e-01 -2.1789e+00 9.2708e+00
32 3.2982e-05 3.0674e-05 3.1110e+00 9.8728e-01 3.6227e-01 1.1861e-02 1.2641e-01 -2.1935e+00 9.2786e+00
33 3.3971e-05 3.1788e-05 3.1106e+00 9.8740e-01 3.6207e-01 4.2300e-03 -1.7043e-01 -2.1873e+00 9.2856e+00
34 3.5050e-05 3.2156e-05 3.1107e+00 9.8855e-01 3.6308e-01 -2.8640e-03 4.6511e-02 -2.1915e+00 9.2925e+00
35 3.4849e-05 3.1077e-05 3.1112e+00 9.8806e-01 3.6255e-01 -1.6697e-03 -1.0368e-01 -2.1980e+00 9.3003e+00
36 3.5150e-05 3.2205e-05 3.1116e+00 9.8774e-01 3.6244e-01 2.7494e-02 -2.0876e-01 -2.1975e+00 9.3081e+00
37 3.7589e-05 3.5316e-05 3.1119e+00 9.8779e-01 3.6233e-01 -2.0325e-02 1.1407e-01 -2.2035e+00 9.3150e+00
38 3.7010e-05 3.4566e-05 3.1116e+00 9.8667e-01 3.6165e-01 -1.8415e-02 -3.5366e-01 -2.1672e+00 9.3241e+00
39 3.6497e-05 3.4802e-05 3.1116e+00 9.8686e-01 3.6198e-01 8.6832e-03 -2.1701e-01 -2.1913e+00 9.3319e+00
40 3.5922e-05 3.3568e-05 3.1118e+00 9.8718e-01 3.6262e-01 -2.2868e-02 2.1267e-02 -2.1972e+00 9.3388e+00
41 3.6808e-05 3.3117e-05 3.1120e+00 9.8756e-01 3.6285e-01 -2.5124e-02 -1.3520e-01 -2.1846e+00 9.3466e+00
42 3.8688e-05 3.4009e-05 3.1118e+00 9.8722e-01 3.6282e-01 -2.2680e-04 2.3998e-01 -2.1867e+00 9.3535e+00
43 3.8754e-05 3.4487e-05 3.1120e+00 9.8671e-01 3.6222e-01 -3.3235e-02 1.4380e-01 -2.1806e+00 9.3613e+00
44 3.8684e-05 3.4707e-05 3.1123e+00 9.8626e-01 3.6176e-01 -4.3152e-02 1.9576e-01 -2.1912e+00 9.3682e+00
45 4.0053e-05 3.6488e-05 3.1123e+00 9.8675e-01 3.6206e-01 -4.3108e-02 -2.1497e-01 -2.1993e+00 9.3752e+00
46 4.0510e-05 3.6700e-05 3.1123e+00 9.8595e-01 3.6192e-01 1.3066e-04 -1.5309e-02 -2.1954e+00 9.3821e+00
47 4.0183e-05 3.5820e-05 3.1129e+00 9.8631e-01 3.6218e-01 -2.0831e-02 -2.4722e-01 -2.2022e+00 9.3898e+00
48 3.9298e-05 3.6228e-05 3.1126e+00 9.8606e-01 3.6167e-01 -1.4470e-02 -3.7175e-02 -2.1792e+00 9.3968e+00
49 3.7464e-05 3.3987e-05 3.1129e+00 9.8634e-01 3.6198e-01 -2.0484e-02 -4.8960e-02 -2.1657e+00 9.4046e+00
50 3.7869e-05 3.4280e-05 3.1130e+00 9.8587e-01 3.6196e-01 -1.2120e-03 -3.7384e-01 -2.1975e+00 9.4132e+00
51 4.1207e-05 3.6885e-05 3.1127e+00 9.8631e-01 3.6146e-01 3.1391e-02 -6.6443e-02 -2.1990e+00 9.4210e+00
52 3.9235e-05 3.5232e-05 3.1135e+00 9.8700e-01 3.6190e-01 2.0833e-02 2.8553e-01 -2.1955e+00 9.4297e+00
53 4.1616e-05 3.7914e-05 3.1138e+00 9.8624e-01 3.6127e-01 -1.4751e-02 -6.1341e-01 -2.1792e+00 9.4366e+00
54 4.2178e-05 3.7520e-05 3.1136e+00 9.8682e-01 3.6171e-01 -2.4430e-02 5.0467e-02 -2.1737e+00 9.4435e+00
55 4.2380e-05 3.7669e-05 3.1132e+00 9.8659e-01 3.6176e-01 1.5356e-02 -7.1446e-02 -2.1936e+00 9.4504e+00
56 4.6955e-05 4.1758e-05 3.1133e+00 9.8683e-01 3.6126e-01 -2.9627e-02 -1.8437e-01 -2.1696e+00 9.4574e+00
57 4.4105e-05 3.9163e-05 3.1132e+00 9.8723e-01 3.6186e-01 -1.3171e-02 -5.2830e-02 -2.1970e+00 9.4651e+00
58 4.4840e-05 4.0095e-05 3.1131e+00 9.8736e-01 3.6149e-01 2.1783e-02 -4.6507e-01 -2.1737e+00 9.4720e+00
59 4.2791e-05 3.8447e-05 3.1134e+00 9.8770e-01 3.6216e-01 5.5242e-03 2.1921e-01 -2.1652e+00 9.4790e+00
