Delta,      learning_rate,  steps,  spacing
1.0,        1e-5,           1000,   100
0.464,      1e-5,           1000,   100
0.215,      1e-5,           10000,  100
0.1,        1e-5,           10000,  100
0.0464,     1e-5,           10000,  100
0.0215,     1e-6,           10000,  100
0.01,       1e-6,           10000,  100
0.00464,    1e-6,           10000,  100
0.00215,    1e-6,           10000,  100
0.001,      1e-6,           10000,  100
0.00464,    1e-7,           10000,  100
0.00215,    1e-7,           10000,  100
0.0001,     1e-7,           10000,  100
0.000464,   1e-9,           10000,  1100
0.000215,   1e-9,           10000,  1100
0.00001,    1e-9,           10000,  1100
