t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
0 3.4063e-01 3.6279e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -3.7766e+02 1.0805e+00
1 2.5068e-01 2.6646e-01 6.8198e-02 1.2069e+00 4.7094e-02 2.2691e-02 -1.1983e+01 -1.1168e+02 1.7373e+00
2 1.7494e-01 1.8390e-01 1.1152e-01 2.0365e+00 8.2027e-02 1.1336e-02 -3.6621e+00 -3.3869e+01 1.7457e+00
3 1.3339e-01 1.3799e-01 1.4169e-01 2.3860e+00 1.1441e-01 5.3246e-03 -1.7305e+00 -1.9117e+01 1.7538e+00
4 1.0891e-01 1.1075e-01 1.6311e-01 2.6140e+00 1.4580e-01 -1.3837e-02 -9.9456e-01 -1.3028e+01 1.7625e+00
5 9.4753e-02 9.4672e-02 1.7832e-01 2.7763e+00 1.7438e-01 4.6295e-02 -6.9594e-01 -1.0057e+01 1.7694e+00
6 8.6696e-02 8.5295e-02 1.8909e-01 2.9089e+00 2.0010e-01 8.2684e-03 -5.1240e-01 -8.4061e+00 1.7800e+00
7 8.1941e-02 7.9531e-02 1.9710e-01 3.0250e+00 2.2150e-01 2.2278e-02 -3.5586e-01 -7.4281e+00 1.7870e+00
8 7.9014e-02 7.6185e-02 2.0276e-01 3.1516e+00 2.3844e-01 1.9952e-02 -3.0980e-01 -6.7708e+00 1.7939e+00
9 7.7517e-02 7.4283e-02 2.0643e-01 3.3186e+00 2.5048e-01 -1.9695e-02 -2.6065e-01 -6.2002e+00 1.8015e+00
10 7.6520e-02 7.2896e-02 2.0956e-01 3.5076e+00 2.6106e-01 1.5579e-02 -1.7360e-01 -5.7107e+00 1.8084e+00
11 7.5756e-02 7.1990e-02 2.1189e-01 3.6807e+00 2.6846e-01 1.9067e-02 -9.0050e-02 -5.3621e+00 1.8153e+00
12 7.5399e-02 7.1266e-02 2.1345e-01 3.8517e+00 2.7397e-01 1.9436e-02 -1.1318e-01 -5.0543e+00 1.8223e+00
13 7.4785e-02 7.0566e-02 2.1484e-01 4.0080e+00 2.7948e-01 -7.2425e-03 -5.6744e-02 -4.8222e+00 1.8292e+00
14 7.4530e-02 7.0065e-02 2.1617e-01 4.1455e+00 2.8351e-01 -2.9506e-02 -4.8778e-02 -4.6026e+00 1.8368e+00
15 7.4191e-02 6.9676e-02 2.1708e-01 4.2879e+00 2.8673e-01 6.0424e-04 -4.5516e-02 -4.4247e+00 1.8439e+00
16 7.3858e-02 6.9377e-02 2.1822e-01 4.4325e+00 2.8916e-01 1.7111e-03 -2.2251e-02 -4.2695e+00 1.8510e+00
17 7.3560e-02 6.8993e-02 2.1866e-01 4.5578e+00 2.8780e-01 7.7995e-03 1.8177e-02 -4.1267e+00 1.8573e+00
18 7.3132e-02 6.8628e-02 2.1925e-01 4.6729e+00 2.8843e-01 -7.6101e-03 -2.1750e-02 -4.0378e+00 1.8643e+00
19 7.2940e-02 6.8325e-02 2.1940e-01 4.8026e+00 2.8747e-01 -3.2263e-02 -1.4191e-02 -3.8980e+00 1.8713e+00
20 7.2790e-02 6.8144e-02 2.1978e-01 4.9249e+00 2.9038e-01 -2.2897e-02 -2.2343e-02 -3.7725e+00 1.8776e+00
21 7.2456e-02 6.7844e-02 2.2029e-01 5.0279e+00 2.8926e-01 -3.2754e-02 -1.0535e-02 -3.7436e+00 1.8840e+00
22 7.2447e-02 6.7607e-02 2.2008e-01 5.1368e+00 2.8694e-01 -1.6430e-02 -1.3700e-02 -3.6635e+00 1.8914e+00
23 7.2111e-02 6.7282e-02 2.2085e-01 5.2411e+00 2.8885e-01 -2.1530e-02 -2.8750e-02 -3.5879e+00 1.8984e+00
24 7.1862e-02 6.6878e-02 2.2154e-01 5.3492e+00 2.9072e-01 -1.3343e-02 -5.2524e-03 -3.4993e+00 1.9040e+00
25 7.1767e-02 6.6710e-02 2.2213e-01 5.4547e+00 2.9103e-01 3.7042e-03 -2.8026e-02 -3.4267e+00 1.9104e+00
26 7.2058e-02 6.6557e-02 2.2216e-01 5.5363e+00 2.9151e-01 -3.4152e-02 -1.7576e-02 -3.3882e+00 1.9166e+00
27 7.1598e-02 6.6287e-02 2.2281e-01 5.6208e+00 2.9047e-01 1.1147e-02 2.5692e-02 -3.3458e+00 1.9228e+00
28 7.1126e-02 6.6142e-02 2.2302e-01 5.7021e+00 2.8883e-01 -9.9736e-03 -9.7426e-03 -3.3130e+00 1.9298e+00
29 7.1109e-02 6.5866e-02 2.2317e-01 5.7862e+00 2.9005e-01 2.9359e-02 -3.8079e-02 -3.2371e+00 1.9357e+00
30 7.1122e-02 6.5785e-02 2.2314e-01 5.8686e+00 2.9044e-01 1.8764e-02 -4.0636e-03 -3.1882e+00 1.9419e+00
31 7.0903e-02 6.5406e-02 2.2399e-01 5.9646e+00 2.9022e-01 2.5362e-02 -3.0720e-02 -3.1527e+00 1.9488e+00
32 7.1133e-02 6.5355e-02 2.2365e-01 6.0407e+00 2.9010e-01 7.1354e-03 1.0993e-04 -3.1468e+00 1.9543e+00
33 7.1512e-02 6.5289e-02 2.2392e-01 6.1232e+00 2.9094e-01 -1.8425e-02 -1.1443e-02 -3.0881e+00 1.9611e+00
34 7.1276e-02 6.5163e-02 2.2402e-01 6.2037e+00 2.9007e-01 8.6715e-03 -4.8883e-02 -3.0906e+00 1.9673e+00
35 7.0877e-02 6.5003e-02 2.2402e-01 6.2783e+00 2.8948e-01 2.0562e-02 -6.1388e-03 -3.0670e+00 1.9741e+00
36 7.0598e-02 6.4774e-02 2.2489e-01 6.3576e+00 2.9421e-01 1.0903e-02 4.9424e-02 -3.0240e+00 1.9803e+00
37 7.0325e-02 6.4620e-02 2.2530e-01 6.4163e+00 2.9300e-01 -2.0957e-02 2.6791e-02 -3.0094e+00 1.9867e+00
38 7.0304e-02 6.4536e-02 2.2503e-01 6.4853e+00 2.8914e-01 -3.8591e-03 -3.6352e-02 -2.9792e+00 1.9946e+00
39 7.0083e-02 6.4337e-02 2.2574e-01 6.5534e+00 2.9067e-01 9.1966e-03 8.1207e-03 -2.9333e+00 2.0002e+00
40 7.0233e-02 6.4194e-02 2.2611e-01 6.6116e+00 2.9284e-01 1.4296e-03 4.2996e-03 -2.9628e+00 2.0065e+00
41 6.9890e-02 6.4105e-02 2.2631e-01 6.6775e+00 2.9178e-01 -2.7450e-02 -2.6065e-02 -2.9290e+00 2.0127e+00
42 6.9920e-02 6.3917e-02 2.2638e-01 6.7460e+00 2.9263e-01 1.1764e-02 5.1940e-02 -2.9196e+00 2.0189e+00
43 6.9737e-02 6.3653e-02 2.2677e-01 6.8073e+00 2.9458e-01 -2.0495e-02 8.5106e-03 -2.8805e+00 2.0260e+00
44 6.9428e-02 6.3532e-02 2.2730e-01 6.8593e+00 2.9570e-01 -2.0801e-02 2.8126e-02 -2.8760e+00 2.0321e+00
45 6.9822e-02 6.3323e-02 2.2719e-01 6.9187e+00 2.9473e-01 -1.0984e-02 2.3276e-02 -2.8550e+00 2.0390e+00
46 6.9246e-02 6.3257e-02 2.2757e-01 6.9644e+00 2.9553e-01 3.5316e-02 -2.5712e-02 -2.8340e+00 2.0458e+00
47 6.9188e-02 6.3262e-02 2.2762e-01 7.0329e+00 2.9641e-01 2.2852e-02 1.8973e-02 -2.8257e+00 2.0526e+00
48 6.9238e-02 6.2957e-02 2.2772e-01 7.0902e+00 2.9422e-01 1.6927e-02 4.8241e-03 -2.8140e+00 2.0595e+00
49 6.9241e-02 6.2668e-02 2.2834e-01 7.1587e+00 2.9559e-01 -2.9636e-02 1.8594e-02 -2.8175e+00 2.0657e+00
50 6.9083e-02 6.2616e-02 2.2760e-01 7.2186e+00 2.9247e-01 -1.3181e-02 1.9170e-02 -2.7934e+00 2.0718e+00
51 6.8964e-02 6.2285e-02 2.2818e-01 7.2826e+00 2.9245e-01 2.1772e-02 2.0741e-02 -2.7552e+00 2.0773e+00
52 6.8890e-02 6.1949e-02 2.2834e-01 7.3288e+00 2.9061e-01 -1.7255e-02 -2.9062e-02 -2.7665e+00 2.0835e+00
53 6.8811e-02 6.1806e-02 2.2877e-01 7.3791e+00 2.8964e-01 4.8629e-03 -1.7085e-02 -2.7418e+00 2.0896e+00
54 6.8675e-02 6.1797e-02 2.2920e-01 7.4380e+00 2.9377e-01 1.4413e-02 -3.3198e-02 -2.7191e+00 2.0958e+00
55 6.8113e-02 6.1516e-02 2.2878e-01 7.4871e+00 2.9139e-01 -1.1342e-02 -1.2869e-02 -2.7245e+00 2.1020e+00
56 6.7964e-02 6.1406e-02 2.2936e-01 7.5417e+00 2.9438e-01 1.0655e-02 2.1085e-02 -2.6991e+00 2.1081e+00
57 6.8206e-02 6.1464e-02 2.2956e-01 7.5857e+00 2.9468e-01 -3.1236e-02 1.6500e-02 -2.6805e+00 2.1149e+00
58 6.8049e-02 6.1166e-02 2.2983e-01 7.6375e+00 2.9806e-01 -2.2946e-03 -4.5472e-02 -2.7205e+00 2.1205e+00
59 6.7618e-02 6.0929e-02 2.3019e-01 7.6900e+00 2.9972e-01 1.5040e-02 2.0833e-02 -2.7035e+00 2.1260e+00
60 6.7660e-02 6.1041e-02 2.3015e-01 7.7514e+00 3.0208e-01 1.9200e-02 1.5050e-02 -2.6961e+00 2.1328e+00
61 6.7318e-02 6.0950e-02 2.2991e-01 7.8107e+00 3.0119e-01 -8.8632e-03 -1.9416e-02 -2.6583e+00 2.1383e+00
62 6.7355e-02 6.0563e-02 2.2936e-01 7.8597e+00 3.0011e-01 2.1973e-02 2.9842e-02 -2.6502e+00 2.1451e+00
63 6.6941e-02 6.0348e-02 2.2960e-01 7.8920e+00 2.9645e-01 4.0208e-03 -4.8307e-03 -2.6663e+00 2.1514e+00
64 6.7087e-02 6.0198e-02 2.2972e-01 7.9409e+00 2.8969e-01 4.8010e-04 -1.3328e-02 -2.6547e+00 2.1569e+00
65 6.6825e-02 6.0127e-02 2.2991e-01 7.9895e+00 2.9063e-01 -5.9822e-03 2.7262e-02 -2.6154e+00 2.1639e+00
66 6.7207e-02 6.0107e-02 2.3050e-01 8.0307e+00 2.9468e-01 4.0910e-03 7.6963e-03 -2.6208e+00 2.1701e+00
67 6.7136e-02 5.9982e-02 2.3020e-01 8.0986e+00 2.9356e-01 8.4915e-03 9.9038e-03 -2.6102e+00 2.1769e+00
68 6.7088e-02 5.9773e-02 2.3048e-01 8.1393e+00 2.9447e-01 -4.1613e-02 1.3585e-02 -2.5934e+00 2.1831e+00
69 6.6531e-02 5.9451e-02 2.3101e-01 8.1697e+00 2.9415e-01 4.7183e-02 1.7320e-03 -2.6050e+00 2.1886e+00
70 6.6159e-02 5.9277e-02 2.3109e-01 8.2215e+00 2.9117e-01 4.0229e-03 -4.5532e-02 -2.5987e+00 2.1948e+00
71 6.6723e-02 5.9254e-02 2.3164e-01 8.2649e+00 2.9650e-01 -1.9736e-02 3.0202e-02 -2.5811e+00 2.2010e+00
72 6.6660e-02 5.9181e-02 2.3223e-01 8.3069e+00 2.9858e-01 -1.4252e-02 3.8332e-02 -2.5611e+00 2.2108e+00
73 6.6356e-02 5.8971e-02 2.3239e-01 8.3590e+00 2.9709e-01 -3.5531e-03 -4.8744e-02 -2.5847e+00 2.2200e+00
74 6.5795e-02 5.8652e-02 2.3299e-01 8.4097e+00 2.9778e-01 -3.6148e-03 -2.8421e-02 -2.5508e+00 2.2262e+00
75 6.5826e-02 5.8640e-02 2.3299e-01 8.4475e+00 2.9739e-01 -4.9526e-02 1.5958e-02 -2.5620e+00 2.2337e+00
76 6.5660e-02 5.8585e-02 2.3372e-01 8.4842e+00 2.9715e-01 7.5605e-03 5.8567e-03 -2.5726e+00 2.2405e+00
77 6.5284e-02 5.8215e-02 2.3427e-01 8.5261e+00 3.0056e-01 -3.7970e-02 -3.7531e-02 -2.5617e+00 2.2467e+00
