t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
0 6.9515e-01 7.5607e-01 3.0508e+00 8.9639e-01 3.8199e-01 1.1529e-02 -3.4776e+02 -7.9039e+02 3.2413e+00
1 2.6455e-01 2.8306e-01 3.0474e+00 5.4472e-01 1.1505e-01 6.9358e-03 5.8299e+00 -2.2307e+02 5.0773e+00
2 2.7919e-01 2.8122e-01 3.0403e+00 8.3545e-01 1.8966e-01 1.0173e-02 -2.3711e+00 -1.5968e+02 5.0991e+00
3 3.0384e-01 2.9226e-01 3.0307e+00 1.0899e+00 2.5348e-01 1.6739e-02 -4.6050e+00 -1.2363e+02 5.1069e+00
4 3.2344e-01 3.0241e-01 3.0201e+00 1.2967e+00 3.0373e-01 3.1142e-02 -5.6123e+00 -1.0182e+02 5.1145e+00
5 3.3624e-01 3.0856e-01 3.0104e+00 1.4688e+00 3.4142e-01 -1.0687e-02 -5.8967e+00 -8.6896e+01 5.1217e+00
6 3.4515e-01 3.1250e-01 3.0005e+00 1.6218e+00 3.7148e-01 -2.8325e-02 -6.2406e+00 -7.5861e+01 5.1318e+00
7 3.5048e-01 3.1436e-01 2.9916e+00 1.7585e+00 3.9521e-01 -4.1195e-03 -6.3229e+00 -6.7203e+01 5.1390e+00
8 3.5367e-01 3.1502e-01 2.9831e+00 1.8849e+00 4.1444e-01 2.1397e-02 -6.6017e+00 -6.0191e+01 5.1470e+00
9 3.5542e-01 3.1488e-01 2.9753e+00 2.0034e+00 4.2932e-01 -1.4735e-02 -6.3508e+00 -5.4433e+01 5.1541e+00
10 3.5640e-01 3.1409e-01 2.9680e+00 2.1127e+00 4.4085e-01 3.4940e-03 -5.9302e+00 -4.9703e+01 5.1614e+00
11 3.5697e-01 3.1285e-01 2.9607e+00 2.2168e+00 4.4906e-01 -3.1925e-02 -5.9075e+00 -4.5754e+01 5.1684e+00
12 3.5713e-01 3.1185e-01 2.9541e+00 2.3181e+00 4.5533e-01 5.2868e-02 -5.5321e+00 -4.2430e+01 5.1756e+00
