Delta,      Test_MSE_info,  n_seed, n_converged
1.0,        0.1068565,      72,     72 
0.464,      0.0710768,      72,     70
0.215,      0.0431602,      72,     72
0.1,        0.0247784,      72,     72
0.0464,     0.0131775,      72,     67
0.0215,     0.0067168,      72,     71
0.01,       0.0032675,      72,     61
0.00464,    0.0015071,      72,     57
0.00215,    0.0007095,      72,     44
0.001,      0.0003290,      72,     37
0.000464,   0.0001529,      72,     21
0.000215,   0.0000710349,   72,     11
0.0001,     0.0000328610,   72,     0
