Delta,      learning_rate,  leapfrog_steps, steps
1.0,        0.0005,         1000,           1000
0.464,      0.0005,         1000,           1000
0.215,      0.0005,         1000,           1000
0.1,        0.0005,         1000,           1000
0.0464,     0.0005,         1000,           1000
0.0215,     0.0005,         1000,           1000
0.01,       0.0005,         1000,           1000
0.00464,    0.00005,        1000,           10000
0.00215,    0.00005,        1000,           10000
0.001,      0.00005,        1000,           10000
0.000464,   0.00005,        1000,           10000
0.000215,   0.00005,        1000,           10000
0.0001,     0.00005,        1000,           10000
0.0000464,  0.00005,        1000,           10000
0.0000215,  0.00005,        1000,           10000
0.00001,    0.00005,        1000,           10000

