Delta,      Test_MSE_info,  n_seed, n_converged
1.0,        0.2139427,      72,     72 
0.464,      0.1144105,      72,     72
0.215,      0.0723940,      72,     70
0.1,        0.0411121,      72,     72
0.0464,     0.0218149,      72,     67
0.0215,     0.0108809,      72,     72
0.01,       0.0050734,      72,     61
0.00464,    0.0024123,      72,     8
0.00215,    0.0011309,      72,     16
0.001,      0.0005189,      72,     16
0.000464,   0.0002385,      72,     18
0.000215,   0.0001101154,   72,     19
0.0001,     0.00005074733,  72,     22
0.0000464,  0.00002201521,  70,     16
0.0000215,  0.00001099039,  72,     12
0.00001,    0.000005,       72,     4
